830,Weekly Forecast,SenderID:,ZZ:F159B,ReceiverID:,ZZ:GUEUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interchange Control Num,Message Release Num,Message Release Date,Message Purpose,Schedule Type,Horizon Start Date,Horizon End Date,Comment Note,Ship To GSDB Code,Ship From GSDB Code,Intermediate Consignee,Part Num,Purchase Order Num,Part Release Status,Dock Code,Line Feed,Reserve Line Feed,Contact Name,Contact Telephone,Fab Auth Qty,Fab Auth Start Date,Fab Auth End Date,Mat Auth Qty,Mat Auth Start Date,Mat Auth End Date,Last Received ASN Num,Last Shipped Qty,Last Shipped Date,Cum Shipped Qty,Cum Start Date,Cum End Date,Forecast Cum Qty,Forecast Net Qty,UOM,Forecast Status,Forecast Date,Flexible Forcast Start Date,Flexible Forcast End Date,Forecast Date Qual'r
25370,940-3,20250421,5,Ship,20250101,20260426, ,GK0VH,GUEUB,,17118-EW020-CO,SGWCKR,,,,,CHU,4604201,1800,20250101,20250511,3000,20250101,20250622,2504000028,240,20250408,1440,20250101,20250408,2160,120,EA,P,20250519,,,W
25370,940-3,20250421,5,Ship,20250101,20260426, ,GK0VH,GUEUB,,17118-EW020-FI,SGWCKR,,,,,CHU,4604201,1800,20250101,20250511,3000,20250101,20250622,2504000028,240,20250408,1440,20250101,20250408,2400,240,EA,P,20250526,,,W
25370,940-3,20250421,5,Ship,20250101,20260426, ,GK0VH,GUEUB,,17118-EW020-MC,SGWCKR,,,,,CHU,4604201,1800,20250101,20250511,3000,20250101,20250622,2504000028,240,20250408,1440,20250101,20250408,2640,240,EA,P,20250602,,,W
25370,940-3,20250421,5,Ship,20250101,20260426, ,GK0VH,GUEUB,,17138-EW030,SGWCKR,,,,,CHU,4604201,1800,20250101,20250511,3000,20250101,20250622,2504000028,240,20250408,1440,20250101,20250408,2760,120,EA,P,20250609,,,W
25370,940-3,20250421,5,Ship,20250101,20260426, ,GK0VH,GUEUB,,17138-EW030-CO,SGWCKR,,,,,CHU,4604201,1800,20250101,20250511,3000,20250101,20250622,2504000028,240,20250408,1440,20250101,20250408,3000,240,EA,P,20250616,,,W
25370,940-3,20250421,5,Ship,20250101,20260426, ,GK0VH,GUEUB,,17138-EW030-DR,SGWCKR,,,,,CHU,4604201,1800,20250101,20250511,3000,20250101,20250622,2504000028,240,20250408,1440,20250101,20250408,3120,120,EA,P,20250623,,,W
25370,940-3,20250421,5,Ship,20250101,20260426, ,GK0VH,GUEUB,,17138-EW030-FI,SGWCKR,,,,,CHU,4604201,1800,20250101,20250511,3000,20250101,20250622,2504000028,240,20250408,1440,20250101,20250408,3360,240,EA,P,20250630,,,W
25370,940-3,20250421,5,Ship,20250101,20260426, ,GK0VH,GUEUB,,17138-EW030-MC,SGWCKR,,,,,CHU,4604201,1800,20250101,20250511,3000,20250101,20250622,2504000028,240,20250408,1440,20250101,20250408,3600,240,EA,P,20250707,,,W
25370,940-3,20250421,5,Ship,20250101,20260426, ,GK0VH,GUEUB,,17141-EW011-A,SGWCKR,,,,,CHU,4604201,1800,20250101,20250511,3000,20250101,20250622,2504000028,240,20250408,1440,20250101,20250408,3720,120,EA,P,20250714,,,W
25370,940-3,20250421,5,Ship,20250101,20260426, ,GK0VH,GUEUB,,17141-EW011-A-CO,SGWCKR,,,,,CHU,4604201,1800,20250101,20250511,3000,20250101,20250622,2504000028,240,20250408,1440,20250101,20250408,3840,120,EA,P,20250721,,,W
25370,940-3,20250421,5,Ship,20250101,20260426, ,GK0VH,GUEUB,,17141-EW011-A-FI,SGWCKR,,,,,CHU,4604201,1800,20250101,20250511,3000,20250101,20250622,2504000028,240,20250408,1440,20250101,20250408,4080,240,EA,P,20250728,,,W
25370,940-3,20250421,5,Ship,20250101,20260426, ,GK0VH,GUEUB,,17141-EW011-A-MC,SGWCKR,,,,,CHU,4604201,1800,20250101,20250511,3000,20250101,20250622,2504000028,240,20250408,1440,20250101,20250408,4200,120,EA,P,20250804,,,W
